SALON,Address,City,ST,Zip,DSC,Six Month Sale
ESTETICA GALILEA #1,525 SW 29TH ST,OKLAHOMA CITY,OK,73109,Pam,44.96
ESTETICA IRMA'S,3225 S WESTERN,OKLAHOMA CITY,OK,73109,Pam,1207.1
ESTETICA NATILIE,1308 SW 36TH,OKLAHOMA CITY,OK,73129,Pam,1106.75
ESTETICA PALMAS,4221 S AGNEW,OKLAHOMA CITY,OK,73119,Pam,959.16
ESTETICA PASSION,4200 S MAY AVE ,OKLAHOMA CITY,OK,73119,Pam,0
ESTETICA REINA,3225 S WESTERN,OKLAHOMA CITY,OK,73109,Pam,34.04
ESTETICA TAURU'S,928 SW 59TH,OKLAHOMA CITY,OK,73109,Pam,546.19
ESTETICA YOLY'S,206 SW 44TH ST,OKLAHOMA CITY,OK,73109,Pam,0
EVE'S & LULU D'S,610 S KELLY AVE ,EDMOND,OK,73003,Michael,22164.95
EVOLUTION SALON,2144 W BRITTON RD,OKLAHOMA CITY,OK,73120,Pam,519.91
EXCLAMATIONS,604 N VAN BUREN,ENID,OK,73703,Michael,0
EXCLUSIVE SHEARS,925 W BRITTON RD,OKLAHOMA CITY,OK,73114,Pam,0
EXCLUSIVELY SHIRLEY'S,3620 N MERIDIAN,OKLAHOMA CITY,OK,73112,Michael,0
EXPRESSIONS,309 E WASHINGTON,CRESCENT,OK,73028,Michael,271.52
EXPRESSIONS GIFT SHOP-ATTITUDES SALO,1725 N KICKAPOO AVE,SHAWNEE,OK,74804,Vicki,89.7
EXPRESSWAY SALON,2525 NW EXPRESSWAY,OKLAHOMA CITY,OK,73112,Michael,826.21
EXTREME HAIR,739 SW 89TH,OKLAHOMA CITY,OK,73139,Vicki,12.09
FACES AND MORE,12054 N MAY AVE,OKLAHOMA CITY,OK,73120,Pam,410.07
FAMILY CUTS,3119 N PENN,OKLAHOMA CITY,OK,73112,Michael,173.86
FANCY NAIL & HAIR,5604 NW EXPRESSWAY,OKLAHOMA CITY,OK,73132,Michael,65.58
FANCY NAILS,12318 N MAY AVE,OKLAHOMA CITY,OK,73120,Pam,0
FANCY NAILS,3410 S BROADWAY,EDMOND,OK,73013,Michael,0
FANTASTIC 5,4707 OWEN K GARRIOTT,ENID,OK,73703,Michael,562.93
FANTASTIC DESIGNS,204 N 7TH,KINGFISHER,OK,73750,Michael,325.32
FASHION HAIR STUDIO,2345 SW 30TH ST,OKLAHOMA CITY,OK,73119,Pam,209.45
FELICITY SALON,7814 NW 94TH,OKLAHOMA CITY,OK,73162,Michael,866.62
FINAL CUT,6700 N CLASSEN BLVD,OKLAHOMA CITY,OK,73116,Michael,10414.35
FINESSE AT ECLIPSE SALON,267 34TH AVE SW,NORMAN,OK,73072,Vicki,405.43
